City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Mexico,1968,Aquatics,Diving,"YOUNG, Edwin Frank",USA,Men,10m platform,M,Bronze
Mexico,1968,Aquatics,Diving,"DIBIASI, Klaus",ITA,Men,10m platform,M,Gold
Mexico,1968,Aquatics,Diving,"GAXIOLA ROBLES, Alvaro",MEX,Men,10m platform,M,Silver
Mexico,1968,Aquatics,Diving,"PETERSON, Ann Stewart",USA,Women,10m platform,W,Bronze
Mexico,1968,Aquatics,Diving,"DUCHKOVA, Milena",TCH,Women,10m platform,W,Gold
Mexico,1968,Aquatics,Diving,"KUZNETSOVA-LOBANOVA, Natalya",URS,Women,10m platform,W,Silver
Mexico,1968,Aquatics,Diving,"HENRY, James Edward",USA,Men,3m springboard,M,Bronze
Mexico,1968,Aquatics,Diving,"WRIGHTSON, Bernard Charles",USA,Men,3m springboard,M,Gold
Mexico,1968,Aquatics,Diving,"DIBIASI, Klaus",ITA,Men,3m springboard,M,Silver
Mexico,1968,Aquatics,Diving,"O'SULLIVAN, Keala",USA,Women,3m springboard,W,Bronze
Mexico,1968,Aquatics,Diving,"GOSSICK, Susanne",USA,Women,3m springboard,W,Gold
Mexico,1968,Aquatics,Diving,"FEDOSOVA-POGOZHEVA, Tamara",URS,Women,3m springboard,W,Silver
Mexico,1968,Aquatics,Swimming,"MILLS, Ronald P.",USA,Men,100m backstroke,M,Bronze
Mexico,1968,Aquatics,Swimming,"MATTHES, Roland",GDR,Men,100m backstroke,M,Gold
Mexico,1968,Aquatics,Swimming,"HICKCOX, Charles Buchanan",USA,Men,100m backstroke,M,Silver
Mexico,1968,Aquatics,Swimming,"SWAGERTY, Jane Ellen",USA,Women,100m backstroke,W,Bronze
Mexico,1968,Aquatics,Swimming,"HALL, Kaye Marie",USA,Women,100m backstroke,W,Gold
Mexico,1968,Aquatics,Swimming,"TANNER, Elaine",CAN,Women,100m backstroke,W,Silver
Mexico,1968,Aquatics,Swimming,"PANKIN, Nikolai",URS,Men,100m breaststroke,M,Bronze
Mexico,1968,Aquatics,Swimming,"MCKENZIE, Donald Ward Jr.",USA,Men,100m breaststroke,M,Gold
Mexico,1968,Aquatics,Swimming,"KOSINSKY, Vladimir",URS,Men,100m breaststroke,M,Silver
Mexico,1968,Aquatics,Swimming,"WICHMAN, Sharon Lynn",USA,Women,100m breaststroke,W,Bronze
