City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Moscow,1980,Aquatics,Diving,"AMBARTSUMYAN, David",URS,Men,10m platform,M,Bronze
Moscow,1980,Aquatics,Diving,"HOFFMANN, Falk",GDR,Men,10m platform,M,Gold
Moscow,1980,Aquatics,Diving,"ALEINIK, Vladimir",URS,Men,10m platform,M,Silver
Moscow,1980,Aquatics,Diving,"TSOTADZE, Liana",URS,Women,10m platform,W,Bronze
Moscow,1980,Aquatics,Diving,"JÄSCHKE, Martina",GDR,Women,10m platform,W,Gold
Moscow,1980,Aquatics,Diving,"EMIRZIAN, Servard",URS,Women,10m platform,W,Silver
Moscow,1980,Aquatics,Diving,"CAGNOTTO, Giorgio Franco",ITA,Men,3m springboard,M,Bronze
Moscow,1980,Aquatics,Diving,"PORTNOV, Aleksandr",URS,Men,3m springboard,M,Gold
Moscow,1980,Aquatics,Diving,"GIRON, Carlos",MEX,Men,3m springboard,M,Silver
Moscow,1980,Aquatics,Diving,"GUTHKE, Karin",GDR,Women,3m springboard,W,Bronze
Moscow,1980,Aquatics,Diving,"KALININA, Irina",URS,Women,3m springboard,W,Gold
Moscow,1980,Aquatics,Diving,"PROEBER, Martina",GDR,Women,3m springboard,W,Silver
Moscow,1980,Aquatics,Swimming,"DOLGOV, Vladimir",URS,Men,100m backstroke,M,Bronze
Moscow,1980,Aquatics,Swimming,"BARON, Bengt",SWE,Men,100m backstroke,M,Gold
Moscow,1980,Aquatics,Swimming,"KUZNETSOV, Viktor",URS,Men,100m backstroke,M,Silver
Moscow,1980,Aquatics,Swimming,"RIEDEL, Petra",GDR,Women,100m backstroke,W,Bronze
Moscow,1980,Aquatics,Swimming,"REINISCH, Rica",GDR,Women,100m backstroke,W,Gold
Moscow,1980,Aquatics,Swimming,"KLEBER, Ina",GDR,Women,100m backstroke,W,Silver
Moscow,1980,Aquatics,Swimming,"EVANS, Peter",AUS,Men,100m breaststroke,M,Bronze
