City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Stockholm,1912,Aquatics,Diving,"BLOMGREN, Gustaf",SWE,Men,10m platform,M,Bronze
Stockholm,1912,Aquatics,Diving,"ADLERZ, Erik",SWE,Men,10m platform,M,Gold
Stockholm,1912,Aquatics,Diving,"ZÜRNER, Albert",GER,Men,10m platform,M,Silver
Stockholm,1912,Aquatics,Diving,"WHITE, Isabella Mary",GBR,Women,10m platform,W,Bronze
Stockholm,1912,Aquatics,Diving,"JOHANSSON, Greta",SWE,Women,10m platform,W,Gold
Stockholm,1912,Aquatics,Diving,"REGNELL, Lisa",SWE,Women,10m platform,W,Silver
Stockholm,1912,Aquatics,Diving,"BEHRENS, Kurt",GER,Men,3m springboard,M,Bronze
Stockholm,1912,Aquatics,Diving,"GÜNTHER, Paul",GER,Men,3m springboard,M,Gold
Stockholm,1912,Aquatics,Diving,"LUBER, Hans",GER,Men,3m springboard,M,Silver
Stockholm,1912,Aquatics,Diving,"JANSSON, John",SWE,Men,plain high diving,M,Bronze
Stockholm,1912,Aquatics,Diving,"ADLERZ, Erik",SWE,Men,plain high diving,M,Gold
Stockholm,1912,Aquatics,Diving,"JOHANSSON, Hjalmar",SWE,Men,plain high diving,M,Silver
Stockholm,1912,Aquatics,Swimming,"KELLNER, Paul",GER,Men,100m backstroke,M,Bronze
Stockholm,1912,Aquatics,Swimming,"HEBNER, Harry J.",USA,Men,100m backstroke,M,Gold
Stockholm,1912,Aquatics,Swimming,"FAHR, Otto",GER,Men,100m backstroke,M,Silver
Stockholm,1912,Aquatics,Swimming,"HUSZAGH, Kenneth",USA,Men,100m freestyle,M,Bronze
Stockholm,1912,Aquatics,Swimming,"KAHANAMOKU, Duke Paoa",USA,Men,100m freestyle,M,Gold
Stockholm,1912,Aquatics,Swimming,"HEALY, Cecil",ANZ,Men,100m freestyle,M,Silver
Stockholm,1912,Aquatics,Swimming,"FLETCHER, Jennie",GBR,Women,100m freestyle,W,Bronze
Stockholm,1912,Aquatics,Swimming,"DURACK, Fanny",ANZ,Women,100m freestyle,W,Gold
Stockholm,1912,Aquatics,Swimming,"WYLIE, Wilhelmina",ANZ,Women,100m freestyle,W,Silver
Stockholm,1912,Aquatics,Swimming,"HARDWICK, Harold H.",ANZ,Men,1500m freestyle,M,Bronze
Stockholm,1912,Aquatics,Swimming,"HODGSON, George Ritchie",CAN,Men,1500m freestyle,M,Gold
Stockholm,1912,Aquatics,Swimming,"HATFIELD, John Gatenby",GBR,Men,1500m freestyle,M,Silver
Stockholm,1912,Aquatics,Swimming,"MALISCH, Kurt Paul",GER,Men,200m breaststroke,M,Bronze
Stockholm,1912,Aquatics,Swimming,"BATHE, Walter",GER,Men,200m breaststroke,M,Gold
Stockholm,1912,Aquatics,Swimming,"LÜTZOW, Willy",GER,Men,200m breaststroke,M,Silver
Stockholm,1912,Aquatics,Swimming,"COURTMAN, Percy",GBR,Men,400m breaststroke,M,Bronze
Stockholm,1912,Aquatics,Swimming,"BATHE, Walter",GER,Men,400m breaststroke,M,Gold
Stockholm,1912,Aquatics,Swimming,"HENNING, Tor",SWE,Men,400m breaststroke,M,Silver
Stockholm,1912,Aquatics,Swimming,"HARDWICK, Harold H.",ANZ,Men,400m freestyle,M,Bronze
Stockholm,1912,Aquatics,Swimming,"HODGSON, George Ritchie",CAN,Men,400m freestyle,M,Gold
Stockholm,1912,Aquatics,Swimming,"HATFIELD, John Gatenby",GBR,Men,400m freestyle,M,Silver
Stockholm,1912,Aquatics,Swimming,"ADLER, Margarete",AUT,Women,4x100m freestyle relay,W,Bronze
Stockholm,1912,Aquatics,Swimming,"MILCH, Klara",AUT,Women,4x100m freestyle relay,W,Bronze
Stockholm,1912,Aquatics,Swimming,"STICKER, Josephine",AUT,Women,4x100m freestyle relay,W,Bronze
Stockholm,1912,Aquatics,Swimming,"ZAHOUREK, Bertha",AUT,Women,4x100m freestyle relay,W,Bronze
Stockholm,1912,Aquatics,Swimming,"FLETCHER, Jennie",GBR,Women,4x100m freestyle relay,W,Gold
Stockholm,1912,Aquatics,Swimming,"MOORE, Isabella Mary",GBR,Women,4x100m freestyle relay,W,Gold
Stockholm,1912,Aquatics,Swimming,"SPEIRS, Annie",GBR,Women,4x100m freestyle relay,W,Gold
Stockholm,1912,Aquatics,Swimming,"STEER, Irene",GBR,Women,4x100m freestyle relay,W,Gold
Stockholm,1912,Aquatics,Swimming,"DRESSEL, Wally",GER,Women,4x100m freestyle relay,W,Silver
Stockholm,1912,Aquatics,Swimming,"OTTO, Louise",GER,Women,4x100m freestyle relay,W,Silver
Stockholm,1912,Aquatics,Swimming,"ROSENBERG, Grete",GER,Women,4x100m freestyle relay,W,Silver
Stockholm,1912,Aquatics,Swimming,"STINDT, Hermine",GER,Women,4x100m freestyle relay,W,Silver
Stockholm,1912,Aquatics,Swimming,"BATTERSBY, Thomas Sidney",GBR,Men,4x200m freestyle relay,M,Bronze
Stockholm,1912,Aquatics,Swimming,"FOSTER, William",GBR,Men,4x200m freestyle relay,M,Bronze
Stockholm,1912,Aquatics,Swimming,"HATFIELD, John Gatenby",GBR,Men,4x200m freestyle relay,M,Bronze
Stockholm,1912,Aquatics,Swimming,"TAYLOR, Henry",GBR,Men,4x200m freestyle relay,M,Bronze
Stockholm,1912,Aquatics,Swimming,"BOARDMAN, Leslie",ANZ,Men,4x200m freestyle relay,M,Gold
Stockholm,1912,Aquatics,Swimming,"CHAMPION, Malcolm",ANZ,Men,4x200m freestyle relay,M,Gold
Stockholm,1912,Aquatics,Swimming,"HARDWICK, Harold H.",ANZ,Men,4x200m freestyle relay,M,Gold
Stockholm,1912,Aquatics,Swimming,"HEALY, Cecil",ANZ,Men,4x200m freestyle relay,M,Gold
Stockholm,1912,Aquatics,Swimming,"HEBNER, Harry J.",USA,Men,4x200m freestyle relay,M,Silver
Stockholm,1912,Aquatics,Swimming,"HUSZAGH, Kenneth",USA,Men,4x200m freestyle relay,M,Silver
Stockholm,1912,Aquatics,Swimming,"KAHANAMOKU, Duke Paoa",USA,Men,4x200m freestyle relay,M,Silver
Stockholm,1912,Aquatics,Swimming,"MCGILLIVRAY, Perry",USA,Men,4x200m freestyle relay,M,Silver
Stockholm,1912,Aquatics,Water polo,"BOIN, Victor",BEL,Men,water polo,M,Bronze
Stockholm,1912,Aquatics,Water polo,"COURBET, Félicien",BEL,Men,water polo,M,Bronze
Stockholm,1912,Aquatics,Water polo,"DONNERS, Hermann",BEL,Men,water polo,M,Bronze
Stockholm,1912,Aquatics,Water polo,"DURANT, Albert",BEL,Men,water polo,M,Bronze
Stockholm,1912,Aquatics,Water polo,"GREGOIRE, Oscar",BEL,Men,water polo,M,Bronze
Stockholm,1912,Aquatics,Water polo,"MEYBOOM, Herman",BEL,Men,water polo,M,Bronze
Stockholm,1912,Aquatics,Water polo,"PLETINCX, Joseph",BEL,Men,water polo,M,Bronze
Stockholm,1912,Aquatics,Water polo,"BENTHAM, Isaac",GBR,Men,water polo,M,Gold
Stockholm,1912,Aquatics,Water polo,"BUGBEE, Charles",GBR,Men,water polo,M,Gold
Stockholm,1912,Aquatics,Water polo,"CORNET, George Thomson",GBR,Men,water polo,M,Gold
Stockholm,1912,Aquatics,Water polo,"HILL, Arthur Edwin",GBR,Men,water polo,M,Gold
Stockholm,1912,Aquatics,Water polo,"RADMILOVIC, Paul",GBR,Men,water polo,M,Gold
Stockholm,1912,Aquatics,Water polo,"SMITH, Charles Sydney",GBR,Men,water polo,M,Gold
Stockholm,1912,Aquatics,Water polo,"WILKINSON, George",GBR,Men,water polo,M,Gold
Stockholm,1912,Aquatics,Water polo,"ANDERSSON, Robert T.",SWE,Men,water polo,M,Silver
Stockholm,1912,Aquatics,Water polo,"ANDERSSON, Vilhelm",SWE,Men,water polo,M,Silver
Stockholm,1912,Aquatics,Water polo,"BERGQVIST, Erik",SWE,Men,water polo,M,Silver
Stockholm,1912,Aquatics,Water polo,"GUMPEL, Max",SWE,Men,water polo,M,Silver
Stockholm,1912,Aquatics,Water polo,"HANSSON, Pontus",SWE,Men,water polo,M,Silver
Stockholm,1912,Aquatics,Water polo,"JULIN, Harald S.A.",SWE,Men,water polo,M,Silver
Stockholm,1912,Aquatics,Water polo,"KUMFELDT, K. Torsten",SWE,Men,water polo,M,Silver
Stockholm,1912,Athletics,Athletics,"STENROOS, Albin Oskar",FIN,Men,10000m,M,Bronze
Stockholm,1912,Athletics,Athletics,"KOLEHMAINEN, Hannes",FIN,Men,10000m,M,Gold
Stockholm,1912,Athletics,Athletics,"TEWANINA, Lewis",USA,Men,10000m,M,Silver
Stockholm,1912,Athletics,Athletics,"ALTIMANI, Fernando",ITA,Men,10000m walk,M,Bronze
Stockholm,1912,Athletics,Athletics,"GOULDING, George",CAN,Men,10000m walk,M,Gold
Stockholm,1912,Athletics,Athletics,"WEBB, Ernest",GBR,Men,10000m walk,M,Silver
Stockholm,1912,Athletics,Athletics,"LIPPINCOTT, Donald",USA,Men,100m,M,Bronze
Stockholm,1912,Athletics,Athletics,"CRAIG, Ralph",USA,Men,100m,M,Gold
Stockholm,1912,Athletics,Athletics,"MEYER, I. Alvah",USA,Men,100m,M,Silver
Stockholm,1912,Athletics,Athletics,"HAWKINS, Martin",USA,Men,110m hurdles,M,Bronze
Stockholm,1912,Athletics,Athletics,"KELLY, Frederick",USA,Men,110m hurdles,M,Gold
Stockholm,1912,Athletics,Athletics,"WENDELL, James",USA,Men,110m hurdles,M,Silver
Stockholm,1912,Athletics,Athletics,"TABER, Norman",USA,Men,1500m,M,Bronze
Stockholm,1912,Athletics,Athletics,"JACKSON, Arnold",GBR,Men,1500m,M,Gold
Stockholm,1912,Athletics,Athletics,"KIVIAT, Abel",USA,Men,1500m,M,Silver
Stockholm,1912,Athletics,Athletics,"APPLEGARTH, William",GBR,Men,200m,M,Bronze
Stockholm,1912,Athletics,Athletics,"CRAIG, Ralph",USA,Men,200m,M,Gold
Stockholm,1912,Athletics,Athletics,"LIPPINCOTT, Donald",USA,Men,200m,M,Silver
Stockholm,1912,Athletics,Athletics,"COTTRILL, William",GBR,Men,3000m team,M,Bronze
Stockholm,1912,Athletics,Athletics,"HUTSON, George William",GBR,Men,3000m team,M,Bronze
Stockholm,1912,Athletics,Athletics,"MOORE, Frank W.",GBR,Men,3000m team,M,Bronze
Stockholm,1912,Athletics,Athletics,"OWEN, Edward",GBR,Men,3000m team,M,Bronze
Stockholm,1912,Athletics,Athletics,"PORTER, Cyril Henry Atwell",GBR,Men,3000m team,M,Bronze
Stockholm,1912,Athletics,Athletics,"BERNA, Tell Schirnding",USA,Men,3000m team,M,Gold
Stockholm,1912,Athletics,Athletics,"BONHAG, George V.",USA,Men,3000m team,M,Gold
Stockholm,1912,Athletics,Athletics,"KIVIAT, Abel",USA,Men,3000m team,M,Gold
Stockholm,1912,Athletics,Athletics,"SCOTT, Henry Louis",USA,Men,3000m team,M,Gold
Stockholm,1912,Athletics,Athletics,"TABER, Norman",USA,Men,3000m team,M,Gold
Stockholm,1912,Athletics,Athletics,"FOCK, Bror",SWE,Men,3000m team,M,Silver
Stockholm,1912,Athletics,Athletics,"FRYKBERG, Nils",SWE,Men,3000m team,M,Silver
Stockholm,1912,Athletics,Athletics,"OHLSSON, Thorild",SWE,Men,3000m team,M,Silver
Stockholm,1912,Athletics,Athletics,"WIDE, Ernest",SWE,Men,3000m team,M,Silver
Stockholm,1912,Athletics,Athletics,"ZANDER, John",SWE,Men,3000m team,M,Silver
Stockholm,1912,Athletics,Athletics,"LINDBERG, Edward F.",USA,Men,400m,M,Bronze
Stockholm,1912,Athletics,Athletics,"REIDPATH, Charles Decker",USA,Men,400m,M,Gold
Stockholm,1912,Athletics,Athletics,"BRAUN, Hans",GER,Men,400m,M,Silver
Stockholm,1912,Athletics,Athletics,"APPLEGARTH, William",GBR,Men,4x100m relay,M,Gold
Stockholm,1912,Athletics,Athletics,"D'ARCY, Victor Henry Augustus",GBR,Men,4x100m relay,M,Gold
Stockholm,1912,Athletics,Athletics,"JACOBS, David Henry",GBR,Men,4x100m relay,M,Gold
Stockholm,1912,Athletics,Athletics,"MACKINTOSH, Henry Maitland",GBR,Men,4x100m relay,M,Gold
Stockholm,1912,Athletics,Athletics,"LINDBERG, Knut",SWE,Men,4x100m relay,M,Silver
Stockholm,1912,Athletics,Athletics,"LUTHER, Karl August",SWE,Men,4x100m relay,M,Silver
Stockholm,1912,Athletics,Athletics,"MÖLLER, Ivan",SWE,Men,4x100m relay,M,Silver
