City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Montreal,1976,Aquatics,Diving,"ALEINIK, Vladimir",URS,Men,10m platform,M,Bronze
Montreal,1976,Aquatics,Diving,"DIBIASI, Klaus",ITA,Men,10m platform,M,Gold
Montreal,1976,Aquatics,Diving,"LOUGANIS, Gregory",USA,Men,10m platform,M,Silver
Montreal,1976,Aquatics,Diving,"WILSON, Deborah Keplar",USA,Women,10m platform,W,Bronze
Montreal,1976,Aquatics,Diving,"VAYTSEKHOVSKAYA, Elena",URS,Women,10m platform,W,Gold
Montreal,1976,Aquatics,Diving,"KNAPE-LINDBERGH, Ulrika",SWE,Women,10m platform,W,Silver
Montreal,1976,Aquatics,Diving,"KOSENKOV, Aleksandr",URS,Men,3m springboard,M,Bronze
Montreal,1976,Aquatics,Diving,"BOGGS, Philip George",USA,Men,3m springboard,M,Gold
Montreal,1976,Aquatics,Diving,"CAGNOTTO, Giorgio Franco",ITA,Men,3m springboard,M,Silver
Montreal,1976,Aquatics,Diving,"POTTER-MCINGVALE, Cynthia",USA,Women,3m springboard,W,Bronze
Montreal,1976,Aquatics,Diving,"CHANDLER, Jennifer Kay",USA,Women,3m springboard,W,Gold
Montreal,1976,Aquatics,Diving,"KÖHLER, Christa",GDR,Women,3m springboard,W,Silver
Montreal,1976,Aquatics,Swimming,"MATTHES, Roland",GDR,Men,100m backstroke,M,Bronze
Montreal,1976,Aquatics,Swimming,"NABER, John Phillips",USA,Men,100m backstroke,M,Gold
Montreal,1976,Aquatics,Swimming,"ROCCA, Peter Drake",USA,Men,100m backstroke,M,Silver
Montreal,1976,Aquatics,Swimming,"GARAPICK, Nancy Ellen",CAN,Women,100m backstroke,W,Bronze
Montreal,1976,Aquatics,Swimming,"RICHTER, Ulrike",GDR,Women,100m backstroke,W,Gold
Montreal,1976,Aquatics,Swimming,"TREIBER, Birgit",GDR,Women,100m backstroke,W,Silver
Montreal,1976,Aquatics,Swimming,"YOZAITIS, Arvidas",URS,Men,100m breaststroke,M,Bronze
Montreal,1976,Aquatics,Swimming,"HENCKEN, John Frederick",USA,Men,100m breaststroke,M,Gold
Montreal,1976,Aquatics,Swimming,"WILKIE, David Andrew",GBR,Men,100m breaststroke,M,Silver
Montreal,1976,Aquatics,Swimming,"KOSHEVAYA, Marina",URS,Women,100m breaststroke,W,Bronze
Montreal,1976,Aquatics,Swimming,"ANKE, Hannelore",GDR,Women,100m breaststroke,W,Gold
Montreal,1976,Aquatics,Swimming,"RUSANOVA, Lyubov",URS,Women,100m breaststroke,W,Silver
